Level,DivNum,DivisionName,Subject,Subgroup,20132014PassRate,20142015PassRate,20152016PassRate
Div,5,Amherst County ,English: Writing,Limited English Proficient,<,<,<
Div,5,Amherst County ,History and Social Sciences,Limited English Proficient,<,<,<
Div,5,Amherst County ,Mathematics,Limited English Proficient,<,<,38
Div,5,Amherst County ,Science,Limited English Proficient,<,<,<
Div,5,Amherst County ,English: Reading,Male,69,73,74
Div,5,Amherst County ,English: Writing,Male,65,69,70
Div,5,Amherst County ,History and Social Sciences,Male,79,83,81
Div,5,Amherst County ,Mathematics,Male,69,76,72
Div,5,Amherst County ,Science,Male,82,83,83
Div,5,Amherst County ,English: Reading,Students with Disabilities,36,47,47
Div,5,Amherst County ,English: Writing,Students with Disabilities,33,36,39
Div,5,Amherst County ,History and Social Sciences,Students with Disabilities,52,60,51
Div,5,Amherst County ,Mathematics,Students with Disabilities,41,51,49
Div,5,Amherst County ,Science,Students with Disabilities,53,57,59
Div,5,Amherst County ,English: Reading,White,77,82,80
Div,5,Amherst County ,English: Writing,White,79,82,80
Div,5,Amherst County ,History and Social Sciences,White,82,86,85
Div,5,Amherst County ,Mathematics,White,76,82,79
Div,5,Amherst County ,Science,White,87,89,87
Div,6,Appomattox County ,English: Reading,All Students,73,82,80
Div,6,Appomattox County ,English: Writing,All Students,72,78,71
Div,6,Appomattox County ,History and Social Sciences,All Students,87,87,85
Div,6,Appomattox County ,Mathematics,All Students,71,78,85
Div,6,Appomattox County ,Science,All Students,83,85,86
Div,6,Appomattox County ,English: Reading,Asian,<,<,<
Div,6,Appomattox County ,English: Writing,Asian,<,<,<
Div,6,Appomattox County ,History and Social Sciences,Asian,<,<,<
Div,6,Appomattox County ,Mathematics,Asian,<,<,<
Div,6,Appomattox County ,Science,Asian,<,<,<
Div,6,Appomattox County ,English: Reading,Economically Disadvantaged,63,77,72
Div,6,Appomattox County ,English: Writing,Economically Disadvantaged,64,66,61
Div,6,Appomattox County ,History and Social Sciences,Economically Disadvantaged,82,82,78
Div,6,Appomattox County ,Mathematics,Economically Disadvantaged,63,71,78
Div,6,Appomattox County ,Science,Economically Disadvantaged,75,76,77
Div,6,Appomattox County ,English: Reading,Female,78,87,85
Div,6,Appomattox County ,English: Writing,Female,77,82,77
Div,6,Appomattox County ,History and Social Sciences,Female,87,86,88
Div,6,Appomattox County ,Mathematics,Female,73,83,88
Div,6,Appomattox County ,Science,Female,82,87,88
Div,6,Appomattox County ,English: Reading,Black,60,74,69
Div,6,Appomattox County ,English: Writing,Black,56,67,60
Div,6,Appomattox County ,History and Social Sciences,Black,81,79,77
Div,6,Appomattox County ,Mathematics,Black,62,71,77
Div,6,Appomattox County ,Science,Black,70,74,74
Div,6,Appomattox County ,English: Reading,Hispanic,82,100,68
Div,6,Appomattox County ,English: Writing,Hispanic,<,<,<
Div,6,Appomattox County ,History and Social Sciences,Hispanic,100,93,88
Div,6,Appomattox County ,Mathematics,Hispanic,93,76,77
Div,6,Appomattox County ,Science,Hispanic,83,83,100
Div,6,Appomattox County ,English: Reading,Limited English Proficient,<,<,<
Div,6,Appomattox County ,English: Writing,Limited English Proficient,<,,
Div,6,Appomattox County ,History and Social Sciences,Limited English Proficient,<,<,<
Div,6,Appomattox County ,Mathematics,Limited English Proficient,<,<,<
Div,6,Appomattox County ,Science,Limited English Proficient,<,<,<
Div,6,Appomattox County ,English: Reading,Male,67,76,76
Div,6,Appomattox County ,English: Writing,Male,66,73,65
Div,6,Appomattox County ,History and Social Sciences,Male,86,87,83
Div,6,Appomattox County ,Mathematics,Male,68,72,82
Div,6,Appomattox County ,Science,Male,84,82,84
Div,6,Appomattox County ,English: Reading,Students with Disabilities,37,37,40
Div,6,Appomattox County ,English: Writing,Students with Disabilities,33,48,21
Div,6,Appomattox County ,History and Social Sciences,Students with Disabilities,52,53,44
Div,6,Appomattox County ,Mathematics,Students with Disabilities,32,34,43
Div,6,Appomattox County ,Science,Students with Disabilities,41,47,35
Div,6,Appomattox County ,English: Reading,White,77,84,85
Div,6,Appomattox County ,English: Writing,White,77,81,74
Div,6,Appomattox County ,History and Social Sciences,White,89,89,88
Div,6,Appomattox County ,Mathematics,White,74,80,88
Div,6,Appomattox County ,Science,White,88,88,90
Div,7,Arlington County ,English: Reading,All Students,82,86,87
Div,7,Arlington County ,English: Writing,All Students,84,85,85
Div,7,Arlington County ,History and Social Sciences,All Students,88,88,88
Div,7,Arlington County ,Mathematics,All Students,83,87,87
Div,7,Arlington County ,Science,All Students,84,85,86
Div,7,Arlington County ,English: Reading,Asian,84,90,90
Div,7,Arlington County ,English: Writing,Asian,86,88,88
Div,7,Arlington County ,History and Social Sciences,Asian,90,90,92
Div,7,Arlington County ,Mathematics,Asian,88,93,91
Div,7,Arlington County ,Science,Asian,86,87,88
Div,7,Arlington County ,English: Reading,Economically Disadvantaged,60,69,71
Div,7,Arlington County ,English: Writing,Economically Disadvantaged,67,68,69
Div,7,Arlington County ,History and Social Sciences,Economically Disadvantaged,71,74,72
Div,7,Arlington County ,Mathematics,Economically Disadvantaged,69,75,73
Div,7,Arlington County ,Science,Economically Disadvantaged,65,68,70
Div,7,Arlington County ,English: Reading,Female,84,89,88
Div,7,Arlington County ,English: Writing,Female,88,89,88
Div,7,Arlington County ,History and Social Sciences,Female,86,87,87
Div,7,Arlington County ,Mathematics,Female,85,89,87
Div,7,Arlington County ,Science,Female,83,85,86
Div,7,Arlington County ,English: Reading,Black,67,74,74
Div,7,Arlington County ,English: Writing,Black,69,72,71
Div,7,Arlington County ,History and Social Sciences,Black,76,76,76
Div,7,Arlington County ,Mathematics,Black,70,76,75
Div,7,Arlington County ,Science,Black,67,73,73
Div,7,Arlington County ,English: Reading,Hispanic,64,71,73
Div,7,Arlington County ,English: Writing,Hispanic,70,71,71
Div,7,Arlington County ,History and Social Sciences,Hispanic,73,77,75
Div,7,Arlington County ,Mathematics,Hispanic,70,77,75
Div,7,Arlington County ,Science,Hispanic,68,70,74
Div,7,Arlington County ,English: Reading,Limited English Proficient,56,64,66
Div,7,Arlington County ,English: Writing,Limited English Proficient,60,54,55
Div,7,Arlington County ,History and Social Sciences,Limited English Proficient,67,69,64
Div,7,Arlington County ,Mathematics,Limited English Proficient,68,74,72
Div,7,Arlington County ,Science,Limited English Proficient,59,59,59
Div,7,Arlington County ,English: Reading,Male,80,84,85
Div,7,Arlington County ,English: Writing,Male,80,81,82
Div,7,Arlington County ,History and Social Sciences,Male,89,89,88
Div,7,Arlington County ,Mathematics,Male,82,86,86
Div,7,Arlington County ,Science,Male,84,84,86
Div,7,Arlington County ,English: Reading,Students with Disabilities,53,59,60
Div,7,Arlington County ,English: Writing,Students with Disabilities,53,52,51
Div,7,Arlington County ,History and Social Sciences,Students with Disabilities,66,67,67
Div,7,Arlington County ,Mathematics,Students with Disabilities,53,60,62
Div,7,Arlington County ,Science,Students with Disabilities,57,59,66
Div,7,Arlington County ,English: Reading,White,94,96,95
Div,7,Arlington County ,English: Writing,White,95,96,95
Div,7,Arlington County ,History and Social Sciences,White,97,97,97
Div,7,Arlington County ,Mathematics,White,92,95,94
Div,7,Arlington County ,Science,White,95,96,96
Div,8,Augusta County ,English: Reading,All Students,69,75,76
Div,8,Augusta County ,English: Writing,All Students,73,77,74
Div,8,Augusta County ,History and Social Sciences,All Students,85,88,89
Div,8,Augusta County ,Mathematics,All Students,74,81,81
Div,8,Augusta County ,Science,All Students,81,81,85
Div,8,Augusta County ,English: Reading,Asian,85,87,84
Div,8,Augusta County ,English: Writing,Asian,88,70,100
Div,8,Augusta County ,History and Social Sciences,Asian,98,95,100
Div,8,Augusta County ,Mathematics,Asian,86,96,89
Div,8,Augusta County ,Science,Asian,87,90,94
Div,8,Augusta County ,English: Reading,Economically Disadvantaged,56,62,62
Div,8,Augusta County ,English: Writing,Economically Disadvantaged,61,63,61
Div,8,Augusta County ,History and Social Sciences,Economically Disadvantaged,75,80,80
Div,8,Augusta County ,Mathematics,Economically Disadvantaged,63,71,71
Div,8,Augusta County ,Science,Economically Disadvantaged,70,68,76
Div,8,Augusta County ,English: Reading,Female,73,78,78
Div,8,Augusta County ,English: Writing,Female,81,84,79
Div,8,Augusta County ,History and Social Sciences,Female,85,87,87
Div,8,Augusta County ,Mathematics,Female,76,82,82
Div,8,Augusta County ,Science,Female,81,81,83
Div,8,Augusta County ,English: Reading,Black,56,65,63
Div,8,Augusta County ,English: Writing,Black,61,70,75
Div,8,Augusta County ,History and Social Sciences,Black,75,84,76
Div,8,Augusta County ,Mathematics,Black,58,71,65
Div,8,Augusta County ,Science,Black,65,73,71
Div,8,Augusta County ,English: Reading,Hispanic,55,65,68
Div,8,Augusta County ,English: Writing,Hispanic,48,72,70
Div,8,Augusta County ,History and Social Sciences,Hispanic,78,85,84
Div,8,Augusta County ,Mathematics,Hispanic,64,77,80
Div,8,Augusta County ,Science,Hispanic,71,73,82
Div,8,Augusta County ,English: Reading,Limited English Proficient,38,51,50
Div,8,Augusta County ,English: Writing,Limited English Proficient,28,36,27
Div,8,Augusta County ,History and Social Sciences,Limited English Proficient,67,64,73
Div,8,Augusta County ,Mathematics,Limited English Proficient,53,71,72
Div,8,Augusta County ,Science,Limited English Proficient,53,38,66
Div,8,Augusta County ,English: Reading,Male,65,73,73
Div,8,Augusta County ,English: Writing,Male,65,70,68
Div,8,Augusta County ,History and Social Sciences,Male,86,89,90
Div,8,Augusta County ,Mathematics,Male,72,80,80
Div,8,Augusta County ,Science,Male,80,82,86
Div,8,Augusta County ,English: Reading,Students with Disabilities,28,29,31
Div,8,Augusta County ,English: Writing,Students with Disabilities,23,30,28
Div,8,Augusta County ,History and Social Sciences,Students with Disabilities,47,52,53
Div,8,Augusta County ,Mathematics,Students with Disabilities,38,42,40
Div,8,Augusta County ,Science,Students with Disabilities,38,39,44
Div,8,Augusta County ,English: Reading,White,70,76,77
Div,8,Augusta County ,English: Writing,White,74,77,74
Div,8,Augusta County ,History and Social Sciences,White,86,88,89
Div,8,Augusta County ,Mathematics,White,75,82,82
Div,8,Augusta County ,Science,White,82,82,85
Div,9,Bath County ,English: Reading,All Students,74,82,87
Div,9,Bath County ,English: Writing,All Students,72,74,71
Div,9,Bath County ,History and Social Sciences,All Students,83,81,82
Div,9,Bath County ,Mathematics,All Students,78,80,87
Div,9,Bath County ,Science,All Students,81,78,79
Div,9,Bath County ,English: Reading,Asian,<,,<
Div,9,Bath County ,English: Writing,Asian,<,,
Div,9,Bath County ,History and Social Sciences,Asian,<,,
Div,9,Bath County ,Mathematics,Asian,<,,<
Div,9,Bath County ,Science,Asian,<,,<
Div,9,Bath County ,English: Reading,Economically Disadvantaged,64,77,85
Div,9,Bath County ,English: Writing,Economically Disadvantaged,67,52,63
Div,9,Bath County ,History and Social Sciences,Economically Disadvantaged,77,71,80
Div,9,Bath County ,Mathematics,Economically Disadvantaged,69,71,83
Div,9,Bath County ,Science,Economically Disadvantaged,75,73,68
Div,9,Bath County ,English: Reading,Female,80,87,92
